Month,Profit,Sales,Discount,Shipping Cost,Quantity,Order Priority,Ship Mode,Customer Satisfaction,Market Campaign,Sales Mode,Region
Jan,-270.39,761.07,0.07,25.08,21,Low,Standard Class,4.2,aggressive,in_store,South
Jan,1104.7,6568.31,0.25,34.85,50,High,First Class,3.3,moderate,online,South
Jan,1533.53,9961.25,0.14,29.72,13,Medium,First Class,3.9,poor,in_store,West
Jan,1697.25,7717.03,0.08,6.24,19,Medium,Standard Class,3,poor,in_store,North
Jan,701.26,5780.36,0.28,6.44,18,Medium,Standard Class,3,moderate,in_store,East
Jan,-444.14,1116.09,0.09,36.56,2,Medium,Standard Class,3.6,poor,in_store,South
Jan,629.99,7028.36,0.27,36.84,45,High,Standard Class,4.2,poor,online,West
Jan,1614.09,6645.56,0.01,48.2,42,Low,First Class,4.4,poor,combined,North
Jan,-300.39,586.06,0.21,44.45,49,High,Standard Class,4.3,moderate,in_store,East
Jan,1112.87,7943.76,0.15,26.06,28,Medium,Standard Class,2.6,poor,in_store,East
Jan,721.01,5235.29,0.13,33.17,50,Low,First Class,4.1,aggressive,in_store,East
Jan,829.35,4316.09,0.01,25.57,23,Medium,Standard Class,2.8,moderate,online,West
Jan,1219.49,7903.05,0.01,15.03,4,Medium,First Class,2.6,moderate,in_store,East
Jan,299.3,4174.54,0.1,21.95,4,Low,Standard Class,4.9,poor,combined,North
Jan,674.5,4862.16,0.28,9.67,12,Medium,First Class,1.3,moderate,in_store,North
Jan,-63.47,1898.13,0.19,34.99,22,Medium,Standard Class,2.7,poor,combined,North
Jan,797.54,3281.06,0.11,13.64,26,High,First Class,4.8,aggressive,combined,South
Jan,989.5,8470.78,0.18,26.4,40,Medium,Standard Class,3.9,aggressive,online,West
Jan,261.65,1950.35,0.06,48.53,42,Medium,First Class,2.8,poor,combined,West
Jan,452.81,4231.18,0.05,6.43,35,High,Standard Class,2.1,poor,in_store,West
Jan,1870.12,9891.44,0.11,11.83,4,Medium,First Class,1,poor,combined,West
Jan,340.72,2442.34,0.26,18.44,12,High,Standard Class,3.4,aggressive,in_store,North
Jan,1394.14,9176.64,0.15,47.38,4,High,First Class,1.6,poor,combined,East
Jan,908.32,9192.13,0.09,45.9,31,High,Standard Class,2.2,aggressive,in_store,North
Jan,378.38,1003.83,0.29,12.29,7,Low,First Class,2.6,moderate,online,West
Jan,290.8,4690.16,0.24,49.15,10,Medium,Standard Class,2.3,poor,in_store,South
Jan,685.66,5071.94,0.1,38.78,24,High,Standard Class,3.8,aggressive,online,South
Jan,418.77,3205.32,0.29,29.3,15,High,First Class,3.7,aggressive,in_store,North
Jan,15.81,568.66,0.3,46.93,39,High,First Class,3,moderate,combined,South
Jan,4.93,2492.69,0.12,44.63,20,Low,Standard Class,3.2,aggressive,in_store,South
Jan,-364.17,1045.74,0.2,22.61,7,Medium,Standard Class,4.5,poor,combined,North
Jan,406.65,2458.67,0.12,34.54,13,Medium,First Class,4,poor,in_store,South
Jan,1426.01,8097.13,0.08,34.13,28,Medium,First Class,2,aggressive,in_store,West
Jan,1475.49,8960.29,0.02,19.71,39,High,First Class,2,aggressive,in_store,East
Jan,-7.61,527.91,0.08,13.07,18,Medium,First Class,3,aggressive,online,South
Jan,123.05,3089.27,0.08,26.01,47,High,First Class,2.6,moderate,combined,East
Jan,1577.77,9807.76,0.12,16.85,11,Medium,Standard Class,2.1,poor,online,South
Jan,983.56,5441.1,0.06,20.98,36,Medium,Standard Class,2.3,aggressive,online,South
Jan,1048.35,6300.46,0.29,47.94,36,Medium,First Class,1.9,poor,online,South
Jan,-67.72,154.9,0.03,25.75,2,Low,Standard Class,2.6,moderate,online,East
Jan,442.97,4900.6,0.19,35.82,48,Low,Standard Class,2.1,moderate,in_store,West
Jan,1246.3,9884.45,0.13,20.13,46,Medium,Standard Class,5,poor,in_store,South
Jan,350.56,3814.34,0.13,49.81,17,Medium,Standard Class,1.1,moderate,online,West
Jan,76.55,1060.68,0.11,34.64,6,Medium,Standard Class,3,poor,online,South
Jan,733.48,4672.9,0.26,13.82,41,Medium,First Class,2.9,poor,online,North
Jan,1718.85,9633.74,0.08,9.42,46,High,Standard Class,2.6,aggressive,combined,West
Jan,781.36,3484.12,0.01,47.44,23,Low,First Class,1.6,aggressive,combined,West
Jan,667.16,8009.34,0.28,47.52,47,Medium,Standard Class,1.2,poor,in_store,South
Jan,1463.65,8008.58,0.26,32.96,16,Low,First Class,5,aggressive,combined,West
Jan,274.36,2161.66,0.08,5.76,41,High,Standard Class,4.1,poor,online,East
Jan,267.37,4489.34,0.16,15.15,26,Low,Standard Class,2.8,moderate,combined,West
Jan,1389.95,7184.45,0.03,41.06,46,Medium,First Class,3.7,aggressive,online,North
Jan,581.35,4164.15,0.03,44.4,50,Medium,Standard Class,2.2,poor,combined,East
Jan,160.96,1990.97,0.25,25.43,1,High,First Class,2.7,aggressive,combined,West
Jan,1538.59,9678.19,0.12,21.45,36,Medium,Standard Class,4.4,aggressive,combined,East
Jan,741.4,6542.43,0.2,17.34,30,Medium,Standard Class,3.3,poor,in_store,South
Jan,1628.58,8668.05,0.28,10.26,2,Medium,Standard Class,3,poor,combined,East
Jan,466.44,349.9,0.07,10.21,20,Medium,First Class,4.4,poor,in_store,North
Jan,314.62,2742.37,0,47.87,5,Medium,First Class,4.3,aggressive,in_store,East
Jan,1084.74,5070.5,0.01,41.39,31,Low,First Class,1.2,aggressive,combined,North
Jan,-100.09,767.74,0.21,12.42,8,High,Standard Class,2.6,poor,online,West
Jan,1525.44,9931.03,0.28,14.32,30,Low,Standard Class,4.5,poor,online,West
Jan,-330.94,2440.98,0.14,34.5,39,Medium,Standard Class,3.1,moderate,online,South
Jan,230.4,3805.49,0.11,39.41,2,High,First Class,3.8,aggressive,combined,North
Jan,-21.64,2218.72,0.16,41.46,13,High,First Class,5,moderate,in_store,East
Jan,-271.32,1143.91,0.26,12.35,4,Low,First Class,1.9,aggressive,combined,West
Jan,28.89,2401.55,0.2,49.29,45,High,First Class,4.7,aggressive,in_store,West
Jan,187.39,3076.04,0.07,15.25,8,Low,Standard Class,3.7,aggressive,online,North
Jan,638.48,6380.98,0.23,31.52,39,Medium,Standard Class,2.6,poor,combined,East
Jan,788.79,2884.22,0.04,31.44,25,Low,First Class,2.2,poor,online,East
Jan,712.59,3686.54,0.05,48.53,7,Low,First Class,4.3,poor,combined,South
Jan,-230.72,158.83,0.18,34.6,14,Low,First Class,1.8,poor,online,West
Jan,753.48,3720.62,0.07,31.32,29,Medium,First Class,4,poor,combined,East
Jan,723.54,5385.47,0.21,28.34,45,Low,Standard Class,2.7,aggressive,in_store,North
Jan,-446.15,1703.96,0.1,39.41,21,High,Standard Class,4.7,moderate,in_store,South
Jan,1133.98,6014.59,0.08,9.77,37,Low,First Class,3.5,moderate,online,East
Jan,679.03,3002.21,0.3,5.09,49,High,Standard Class,2.8,moderate,in_store,North
Jan,858.24,6357.3,0.01,47.86,33,High,Standard Class,4.4,moderate,combined,North
Jan,-61.44,359.35,0.19,27.44,41,Medium,Standard Class,2.6,poor,in_store,East
Jan,1494.15,8887.18,0.01,19.78,25,Low,Standard Class,3.5,moderate,online,South
Jan,-146.51,259.57,0.23,21.56,46,Low,Standard Class,3.4,moderate,online,East
Jan,-15.99,1356.88,0.07,41.17,14,High,First Class,4.4,moderate,online,North
Jan,1223.34,7793.91,0.03,22.21,9,High,First Class,1.8,aggressive,combined,West
Jan,-46.15,554.36,0.19,39.66,15,High,Standard Class,2.7,moderate,online,South
Jan,925.99,7138.89,0.22,24.82,7,Low,First Class,4.5,aggressive,online,South
Jan,874.19,9713.36,0.2,42.98,2,Medium,Standard Class,3.9,aggressive,in_store,East
Jan,2025.39,8729.66,0.02,8.43,31,Low,First Class,3.4,aggressive,in_store,South
Jan,1360.75,7130.6,0.09,26.65,7,High,First Class,3.8,moderate,online,East
Jan,1711.91,9589.25,0.14,26.01,41,Medium,First Class,2.1,poor,combined,South
Jan,479.52,4355.15,0.09,16.89,11,Medium,First Class,2.7,moderate,in_store,South
Jan,1362.34,8741.5,0.24,47.46,13,Low,First Class,2.3,poor,online,East
Jan,-32.83,3623.98,0.04,45.73,13,Low,Standard Class,4.7,moderate,combined,East
Jan,1033.64,9304.66,0.18,24.96,26,High,Standard Class,5,moderate,in_store,South
Jan,630.16,1572.9,0.3,9.37,43,Medium,First Class,4.5,poor,online,East
Jan,1789.27,9406.29,0.27,14.31,50,Medium,First Class,4,aggressive,online,West
Jan,1302.77,8343.89,0.07,17.22,8,Low,Standard Class,4.5,aggressive,combined,East
Jan,1648.25,8475.94,0,26.79,14,Medium,First Class,1.7,aggressive,online,East
Jan,294.43,1326.84,0.29,20.23,45,Low,Standard Class,3,poor,online,West
Jan,576.32,6005.22,0.26,39.84,2,Medium,Standard Class,3.8,moderate,online,East
Jan,-62.34,262.29,0.28,26.42,42,Low,Standard Class,1.3,moderate,in_store,West
Jan,690.46,7239.73,0.12,44.17,15,High,Standard Class,4.2,poor,online,East
Jan,-152.43,176.6,0.22,49.81,24,High,Standard Class,1.7,aggressive,online,South
Jan,413.11,939.74,0.06,14.89,34,Medium,First Class,2.3,moderate,combined,North
Jan,345.67,2332.43,0.12,32.53,4,Low,Standard Class,3.7,poor,online,North
Jan,1080.07,8763.73,0.26,43.14,18,Low,Standard Class,1.6,poor,online,West
Jan,702.05,3699.41,0.04,47.54,25,High,First Class,3.6,moderate,online,North
Jan,1161.92,5445.6,0.27,18.05,47,Low,First Class,2.1,poor,online,North
Jan,209.09,5724.22,0.15,37.72,24,Medium,Standard Class,4,poor,in_store,East
Jan,507.53,2332.09,0.13,5.68,6,High,Standard Class,2.7,aggressive,online,North
Jan,573.35,5764.25,0.09,44.56,34,High,First Class,4.5,poor,combined,West
Jan,956.94,6643.42,0.28,7.88,38,High,First Class,1.4,aggressive,in_store,South
Jan,700.45,3052.63,0.16,38,3,Medium,First Class,1.5,poor,online,North
Jan,642.63,4244.41,0.24,49.76,19,Low,First Class,1,aggressive,combined,West
Jan,247.32,4585.58,0.26,27.55,47,Low,Standard Class,1.1,moderate,combined,South
Jan,1072.81,9330.27,0.28,14.42,46,Medium,Standard Class,1,moderate,in_store,East
Jan,1059.65,5916.19,0.09,31.76,36,Low,First Class,4.3,aggressive,combined,South
Jan,1015.16,9487.7,0.1,33.09,19,Medium,Standard Class,3.1,moderate,in_store,West
Jan,462.52,5604.74,0.18,35.06,28,High,Standard Class,2.9,poor,combined,North
Jan,771.69,5055.56,0.13,12.77,47,Medium,First Class,3.7,aggressive,in_store,East
Jan,-227.76,134.97,0.28,45.44,10,High,Standard Class,4.5,aggressive,combined,East
Jan,-25.98,4860.8,0.12,32.94,18,High,Standard Class,4.5,moderate,in_store,East
Jan,1968.19,9281.8,0.14,6.96,4,Low,First Class,1.5,aggressive,online,North
Jan,37.79,2063.82,0.19,35.78,12,Low,First Class,3,moderate,in_store,South
Feb,325,1676.07,0.13,15.97,19,High,First Class,1.4,aggressive,online,East
Feb,273.98,3913.32,0.06,38.59,24,Medium,Standard Class,4,aggressive,online,North
Feb,1122.71,7211.85,0.26,20.23,12,Low,Standard Class,4,aggressive,online,North
Feb,1497.87,8163.68,0.17,45.54,41,High,First Class,3.4,aggressive,online,South
Feb,31.99,3578.47,0.3,44.16,11,Low,Standard Class,4.7,moderate,online,West
Feb,1226.25,9879.99,0.26,35.59,45,High,Standard Class,3.6,aggressive,online,West
Feb,878.72,6921.69,0.04,25.65,25,High,Standard Class,4.9,aggressive,in_store,West
Feb,1205.22,9233.12,0.24,23.33,23,High,First Class,4.3,moderate,in_store,East
Feb,-168.16,228.59,0.04,32.12,46,Low,Standard Class,4.2,moderate,in_store,South
Feb,202.17,1938.6,0.24,22.37,34,Medium,Standard Class,4.8,aggressive,online,North
Feb,223.73,2194.22,0.08,42.04,15,Low,First Class,3.5,poor,in_store,North
Feb,1639.43,9847.16,0.02,36.93,43,High,First Class,2.3,aggressive,combined,North
Feb,49.36,3011.21,0.1,43.97,48,High,Standard Class,1.4,moderate,in_store,West
Feb,1871.04,8693.71,0.14,5.65,3,Medium,First Class,3.8,aggressive,combined,North
Feb,1705.37,9303.4,0.12,18.68,14,High,First Class,3.1,poor,combined,South
Feb,1674.96,5858.74,0.05,6.02,20,High,First Class,2.5,moderate,in_store,North
Feb,448.86,3838.89,0.18,47.89,48,Medium,First Class,4.8,moderate,in_store,South
Feb,1258.72,7897.1,0.06,45.61,49,Medium,First Class,4.6,moderate,combined,West
Feb,488.67,4679.49,0.17,22.08,26,Low,Standard Class,2.5,poor,combined,East
Feb,265.4,3102.39,0.21,30.87,44,High,Standard Class,4.8,poor,combined,South
Feb,871.57,9434.93,0.29,43.77,37,Medium,Standard Class,2.7,poor,combined,West
Feb,474.38,963.27,0.03,28.82,4,Low,First Class,1.8,poor,online,West
Feb,30.78,1394.34,0.05,27.91,40,Medium,Standard Class,3.5,poor,online,East
Feb,292.58,3935.82,0.2,47.66,46,Medium,Standard Class,1.4,aggressive,online,West
Feb,331.82,3150.56,0.23,9.79,46,High,First Class,1.6,poor,combined,East
Feb,410.65,6399.43,0.08,48.99,35,High,Standard Class,4.3,aggressive,combined,East
Feb,304.51,1260.33,0.06,30.93,23,Low,First Class,4.3,aggressive,online,West
Feb,697.31,6751.68,0.23,46.15,47,High,Standard Class,2,poor,in_store,South
Feb,391.62,5516.38,0.1,48.75,25,High,Standard Class,4,aggressive,in_store,North
Feb,-8.68,2850.81,0.18,44.65,36,Medium,Standard Class,4.9,aggressive,in_store,South
Feb,28.14,145.43,0.13,41.5,13,Low,First Class,4.8,aggressive,online,East
Feb,1228.56,9097.02,0.11,37.9,28,Medium,First Class,2.8,aggressive,combined,North
Feb,404.16,6227.06,0.11,43.35,49,High,Standard Class,4.5,moderate,in_store,South
Feb,1401.29,8528.81,0.29,19.09,10,Medium,Standard Class,3.2,poor,combined,North
Feb,930.19,5345.19,0.25,10.6,13,Medium,First Class,3.3,poor,in_store,North
Feb,1027.54,4699.11,0.06,6.74,44,Low,First Class,2,moderate,online,South
Feb,1157.35,6527.22,0.17,28.03,3,Low,First Class,2.5,moderate,combined,West
Feb,482.45,1496.04,0.18,13.75,19,High,Standard Class,1.9,moderate,in_store,West
Feb,586.02,6183.9,0.07,42.1,18,Medium,Standard Class,4,aggressive,in_store,East
Feb,1123.5,4943.16,0.26,17.62,43,Low,First Class,3.6,moderate,combined,East
Feb,-147.02,592.59,0.19,22.75,50,High,First Class,4.2,aggressive,combined,East
Feb,1013.83,6666.04,0.29,17.04,38,Low,Standard Class,3.5,aggressive,combined,North
Feb,882.12,4755.43,0.27,13.93,46,Low,First Class,2.1,aggressive,combined,North
Feb,475.4,2831,0.23,44.52,20,Low,First Class,4.8,moderate,in_store,South
Feb,444.61,1771.24,0.21,27.69,13,High,First Class,3.6,aggressive,online,North
Feb,1602.02,9018.61,0.15,30.66,2,Low,First Class,2.9,moderate,combined,North
Feb,238.68,225.32,0.28,32.06,12,Low,First Class,4.1,aggressive,online,West
Feb,1556.65,7305.84,0.08,33.66,7,Low,First Class,2,poor,online,East
Feb,1544.71,9567.29,0.21,28.25,50,Medium,First Class,4.2,poor,in_store,East
Feb,1.29,931.42,0.3,9.03,2,Low,First Class,2.4,poor,in_store,North
Feb,1020.34,5132.26,0.28,22.26,21,Medium,First Class,1.3,moderate,combined,North
Feb,916.83,4226.18,0.09,9.13,36,Medium,First Class,4.1,moderate,online,East
Feb,144.4,2930,0.26,47.54,38,Medium,First Class,1.8,moderate,combined,South
Feb,531.74,6586.75,0.19,45.92,43,High,Standard Class,3.6,poor,in_store,West
Feb,211.1,1133.74,0.18,23.72,9,High,Standard Class,2.1,moderate,online,East
Feb,1643.6,8127.1,0.02,36.67,48,Medium,First Class,3.7,poor,online,South
Feb,795.55,6219.79,0.25,20.1,27,High,Standard Class,1.5,aggressive,in_store,West
Feb,1115.52,9854.57,0.2,29.29,11,Medium,Standard Class,3.5,poor,in_store,North
Feb,760.19,3210.85,0.1,16.12,25,Low,First Class,1.8,poor,in_store,West
Feb,558.42,6530.87,0.18,37.29,27,Low,Standard Class,3,aggressive,in_store,North
Feb,1688.38,9908.46,0.23,9.06,27,Medium,First Class,4.5,aggressive,in_store,West
Feb,875.07,5374.16,0.06,38.14,5,High,Standard Class,2.9,poor,in_store,East
Feb,895.63,6946.56,0.24,12.42,17,Low,Standard Class,4.1,moderate,online,West
Feb,650.76,4051.9,0.22,19.71,24,Medium,Standard Class,1.6,moderate,online,South
Feb,217.88,1261.41,0.17,22.32,2,Medium,Standard Class,3.6,moderate,online,West
Feb,1343.12,8474.91,0.24,21.91,39,Medium,First Class,1.6,moderate,combined,South
Feb,1643.09,8099.82,0.18,22.14,27,Medium,First Class,4.1,moderate,combined,South
Feb,993.27,7376.56,0.17,34.7,19,High,First Class,3.9,poor,online,South
Feb,444.17,4618.27,0.29,25.75,47,Low,First Class,2.6,aggressive,in_store,West
Feb,314.9,1236.89,0.17,23.81,21,High,First Class,2.9,poor,online,South
Feb,434.8,4603.89,0.15,45.16,7,Medium,Standard Class,1.7,moderate,combined,South
Feb,1420.28,9582.25,0.14,46.38,14,High,First Class,3.5,poor,combined,East
Feb,1199.03,6913.19,0.13,32.28,13,High,First Class,4.7,moderate,combined,West
Feb,305.43,358.99,0.17,30.27,6,Low,First Class,3.2,aggressive,combined,South
Feb,52.47,3117.67,0.23,33.59,30,Low,First Class,2.3,moderate,in_store,North
Feb,545.95,4773.49,0.02,42.11,38,Low,Standard Class,2.6,moderate,online,East
Feb,1092.97,8582.92,0.07,41.07,15,Medium,Standard Class,1.9,poor,in_store,South
Feb,245.85,2236.04,0.3,40.44,24,Low,Standard Class,2.8,moderate,combined,East
Feb,-379.22,437.69,0.22,25.48,11,High,Standard Class,3,aggressive,combined,West
Feb,474.55,6616.43,0.21,48.2,27,High,Standard Class,4.8,poor,online,North
Feb,1358.32,8017.81,0.04,10.76,32,Medium,First Class,2.7,poor,in_store,South
Feb,1004.43,4397.51,0.07,8.83,33,Medium,First Class,4.4,aggressive,online,South
Feb,1140,6308.16,0.13,10.17,32,Low,Standard Class,1.7,aggressive,combined,North
Feb,540.19,6343.18,0.04,18.44,12,Medium,Standard Class,3.2,aggressive,online,West
Feb,769.77,7963.42,0.29,37.24,39,Medium,First Class,3.4,aggressive,combined,West
Feb,638.9,3269.72,0.04,27.77,21,Low,First Class,3.4,poor,online,East
Feb,156.96,2189.16,0.22,18.93,25,Medium,Standard Class,3,aggressive,online,East
Feb,1008.01,4554.13,0.18,5.32,23,Low,First Class,4.1,aggressive,online,South
Feb,620.75,9552.29,0.2,36.5,30,Low,Standard Class,1.7,aggressive,combined,North
Feb,-127.72,1244.31,0.05,48.03,18,High,Standard Class,1.3,aggressive,online,South
Feb,752.26,5253.44,0.16,7.44,26,High,Standard Class,1.6,moderate,online,South
Feb,1324.99,9856.43,0.22,11.35,20,Low,First Class,3.3,moderate,in_store,South
Feb,687.09,5105.66,0.11,17.33,41,Medium,Standard Class,2,aggressive,combined,East
Feb,1710.22,9466.71,0.03,28.81,35,High,First Class,4,moderate,in_store,North
Feb,1295.14,8130.75,0.22,22.01,47,Low,First Class,1.3,poor,online,West
Feb,1536.65,9486.31,0.16,33.11,13,High,Standard Class,4.6,aggressive,combined,North
Feb,977.07,4701.64,0.01,22.73,42,High,First Class,4.8,moderate,online,North
Feb,326.69,3367.03,0.03,49.58,3,High,First Class,4.1,aggressive,online,North
Feb,851.2,4658.65,0.08,39.8,33,Low,Standard Class,4.5,poor,combined,North
Feb,258.38,5083.58,0.3,49.65,42,Medium,First Class,2.5,moderate,online,North
Feb,353.47,2019.09,0.02,15.65,42,High,First Class,1.6,aggressive,online,East
Feb,427.47,5940.65,0.15,38.54,44,High,Standard Class,1.8,poor,combined,East
Feb,1008.08,8310.4,0.15,16.2,2,High,Standard Class,3,aggressive,in_store,North
Feb,1493.9,8630.85,0.24,24.91,22,Low,Standard Class,3.6,poor,in_store,West
Feb,1037.18,8554.77,0.15,9.76,41,High,Standard Class,3.3,aggressive,combined,North
Feb,1103.63,7166.95,0.13,16.63,4,Low,Standard Class,1.4,aggressive,online,South
Feb,-197.9,2116.89,0.2,9.71,40,Medium,Standard Class,3.9,moderate,in_store,South
Feb,559.85,929.59,0.08,25.29,39,Medium,First Class,4.2,aggressive,combined,West
Feb,486.89,6584.05,0.22,48.51,29,Medium,Standard Class,1.1,poor,combined,West
Feb,503.88,3100.54,0.05,35.85,30,High,First Class,2.8,poor,in_store,East
Feb,889.73,5423.8,0.21,32.37,47,Low,First Class,2.8,poor,combined,West
Feb,1059.24,1748.56,0.04,11.2,14,Medium,First Class,1.3,moderate,online,South
Feb,95.48,1207.61,0.04,7.36,2,High,Standard Class,1.7,aggressive,in_store,West
Feb,879.91,9197.49,0.02,49.85,16,Medium,Standard Class,4.3,moderate,combined,West
Feb,1044.72,6604.77,0.23,29.47,12,High,First Class,3.3,poor,combined,West
Feb,1045.65,6976.07,0.26,26.69,41,High,First Class,1.9,moderate,combined,North
Feb,-889.96,302.33,0.29,45.59,39,High,Standard Class,2.8,aggressive,in_store,South
Feb,820.48,3648.48,0.19,7.32,43,Medium,First Class,4.4,poor,combined,North
